domain,endpoint,cab_mode,features,claim_strength,N,endpoint_positive_N,unsupported_reuse_rate,absolute_reduction_vs_ClinVar_pp,relative_reduction_vs_ClinVar_percent,overrestriction_rate,direct_use_allowed_rate,true_portable_allowed_rate,false_restriction_rate,direct_use_precision,direct_use_recall,nonportability_recall,portability_specificity,F1_nonportability,balanced_accuracy,Brier_like_routing_loss
cardiomyopathy,temporal_condition_label_drift,gene-only,gene identity only,comparator,4918,1901,0.3001220008133387,8.641724278161856,22.35665439242504,0.0530703538023586,0.8605124034160228,0.9134902220749088,0.0865097779250911,0.6512287334593573,0.9134902220749088,0.2235665439242504,0.9134902220749088,0.3285659064553536,0.5685283829995796,0.3531923546156974
cardiomyopathy,temporal_condition_label_drift,regime-only,baseline disease-model regime only,comparator,4918,1901,0.0392435949572997,34.72956486376575,89.84744871120462,0.5298901992679951,0.1228141520943472,0.1362280411004308,0.8637719588995691,0.6804635761589404,0.1362280411004308,0.8984744871120462,0.1362280411004308,0.5496379726468222,0.5173512641062386,0.5691337942252949
cardiomyopathy,temporal_condition_label_drift,portability-score-only,baseline portability score threshold only,comparator,4918,1901,0.2344448962993086,15.20943472956486,39.34771173066806,0.2517283448556324,0.596177307848719,0.5896586012595293,0.4103413987404706,0.6067530695770805,0.5896586012595293,0.3934771173066806,0.5896586012595293,0.3848726524311808,0.491567859283105,0.486173241154941
cardiomyopathy,temporal_condition_label_drift,failure-topology-only,baseline failure/regime topology only,comparator,4918,1901,0.0392435949572997,34.72956486376575,89.84744871120462,0.5298901992679951,0.1228141520943472,0.1362280411004308,0.8637719588995691,0.6804635761589404,0.1362280411004308,0.8984744871120462,0.1362280411004308,0.5496379726468222,0.5173512641062386,0.5691337942252949
cardiomyopathy,temporal_condition_label_drift,CAB-Strict,gene + baseline disease-model regime,high_stringency_temporal_frontier_mode,4918,1901,0.0392435949572997,34.72956486376575,89.84744871120462,0.5298901992679951,0.1228141520943472,0.1362280411004308,0.8637719588995691,0.6804635761589404,0.1362280411004308,0.8984744871120462,0.1362280411004308,0.5496379726468222,0.5173512641062386,0.5691337942252949
cardiomyopathy,temporal_condition_label_drift,CAB-Balanced,full CAB routing configuration,balanced_routing_mode,4918,1901,0.0392435949572997,34.72956486376575,89.84744871120462,0.5298901992679951,0.1228141520943472,0.1362280411004308,0.8637719588995691,0.6804635761589404,0.1362280411004308,0.8984744871120462,0.1362280411004308,0.5496379726468222,0.5173512641062386,0.5691337942252949
hereditary_cancer,temporal_condition_label_drift,ClinVar-label-only,ClinVar P/LP label only,counterfactual_baseline,20865,7602,0.3643421998562186,0.0,0.0,0.0,1.0,1.0,0.0,0.6356578001437815,1.0,0.0,1.0,,0.5,0.3643421998562186
hereditary_cancer,temporal_condition_label_drift,metadata-only,baseline review/status/submitter metadata only,comparator,20865,7602,0.3643421998562186,0.0,0.0,0.0,1.0,1.0,0.0,0.6356578001437815,1.0,0.0,1.0,,0.5,0.3643421998562186
hereditary_cancer,temporal_condition_label_drift,gene-only,gene identity only,comparator,20865,7602,0.0186436616343158,34.569853822190275,94.88292554590898,0.5933381260484064,0.0609633357296908,0.0665761893990801,0.9334238106009198,0.6941823899371069,0.0665761893990801,0.9488292554590896,0.0665761893990801,0.5304651590365875,0.5077027224290849,0.6119817876827223
hereditary_cancer,temporal_condition_label_drift,regime-only,baseline disease-model regime only,comparator,20865,7602,0.0511382698298586,31.320393002635992,85.9642199421205,0.4901030433740714,0.1966930265995686,0.2289828847168815,0.7710171152831184,0.740009746588694,0.2289828847168815,0.8596421994212049,0.2289828847168815,0.5364692361367648,0.5443125420690432,0.54124131320393
