domain_group,endpoint,N,endpoint_rate,threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.31,0.032126880845872306,0.5063033753558357,0.1392842618950793,0.1746768312893603,0.8607157381049207,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.32,0.03497356649044327,0.5024400162667751,0.14599430662871085,0.18097447795823665,0.8540056933712892,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.33,0.0359902399349329,0.49898332655551036,0.15046766978446524,0.18660921445144182,0.8495323302155348,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.34,0.03639690931272875,0.4953233021553477,0.15453436356242375,0.1925754060324826,0.8454656364375762,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.35000000000000003,0.05246034973566491,0.4821065473769825,0.1838145587637251,0.2141199867417965,0.8161854412362749,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.36,0.0805205368035787,0.3149654331028873,0.379015860105734,0.48657606894265826,0.6209841398942659,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.37,0.08255388369255795,0.3035786905246035,0.39243594957299716,0.5051375538614518,0.6075640504270029,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.38,0.08438389589263928,0.2970719804798699,0.4007726718178121,0.5157441166721909,0.5992273281821879,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.39,0.11488409922732819,0.28975193167954455,0.43859292395282634,0.5276764998342724,0.5614070760471737,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.4,0.12708418056120374,0.2706384709231395,0.46990646604310693,0.5588332780908187,0.5300935339568931,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.41000000000000003,0.1362342415616104,0.2433916226108174,0.5063033753558357,0.6032482598607889,0.4936966246441643,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.42,0.13867425782838552,0.24135827572183816,0.5107767385115901,0.6065628107391449,0.48922326148840994,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.43,0.16002440016266775,0.20069133794225294,0.5727938186254575,0.6728538283062645,0.42720618137454247,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.44,0.16226108174054493,0.19682797885319236,0.5788938592923952,0.6791514749751408,0.4211061407076047,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.45,0.1651077673851159,0.19174461163074422,0.5868239121594144,0.6874378521710308,0.4131760878405856,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.46,0.16958113054087026,0.18137454249694998,0.601667344448963,0.7043420616506464,0.39833265555103703,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.47000000000000003,0.17100447336315575,0.1791378609190728,0.6053273688491256,0.707988067616838,0.39467263115087436,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.48,0.2043513623424156,0.14375762505083367,0.6740544936966246,0.765661252900232,0.3259455063033754,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.49,0.21472143147620984,0.1423342822285482,0.6858479056527044,0.7679814385150812,0.31415209434729563,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.5,0.21960146400976008,0.1354209028060187,0.697641317608784,0.7792509115014915,0.30235868239121594,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.51,0.23078487189914598,0.1283041886945913,0.7159414396095974,0.7908518395757375,0.2840585603904026,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.52,0.2340382269215128,0.12566083773891826,0.7218381455876373,0.7951607557176003,0.27816185441236274,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.53,0.24400162667751119,0.11752745018300122,0.7399349328995527,0.8084189592310242,0.26006506710044736,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.54,0.24908499389995933,0.11529076860512404,0.747254981699878,0.8120649651972158,0.252745018300122,dominated
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.55,0.24908499389995933,0.11407076047173648,0.7484749898332655,0.8140536957242294,0.25152501016673445,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.56,0.2643350955673038,0.11142740951606345,0.766368442456283,0.8183626118660922,0.23363155754371695,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.5700000000000001,0.2777551850345669,0.10532736884912566,0.785888572590484,0.8283062645011601,0.21411142740951605,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.58,0.28995526636844243,0.10105734038226921,0.802358682391216,0.8352668213457076,0.19764131760878406,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.59,0.29178527856852376,0.09902399349328996,0.8062220414802765,0.8385813722240636,0.19377795851972346,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.6,0.2980886539243595,0.09577063847092314,0.815778771858479,0.8438846536294332,0.18422122814152095,frontier
