threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
repair/review threshold,0.73,0.36052385406922355,0.010626753975678204,0.9733582787652011,0.9829552274636898,0.02664172123479888,frontier
repair/review threshold,0.74,0.36059869036482695,0.010626753975678204,0.9734331150608045,0.9829552274636898,0.02656688493919551,frontier
repair/review threshold,0.75,0.3663985032740879,0.00014967259120673526,0.9897100093545369,0.9997599327811787,0.01028999064546305,frontier
repair/review threshold,0.76,0.36681010289990645,0.00011225444340505144,0.9901590271281572,0.999819949585884,0.009840972871842844,frontier
repair/review threshold,0.77,0.36823199251637045,0.00011225444340505144,0.9915809167446211,0.999819949585884,0.00841908325537886,frontier
repair/review threshold,0.78,0.36823199251637045,0.00011225444340505144,0.9915809167446211,0.999819949585884,0.00841908325537886,frontier
repair/review threshold,0.79,0.3682694106641721,0.00011225444340505144,0.9916183348924228,0.999819949585884,0.008381665107577175,frontier
repair/review threshold,0.8,0.3684939195509822,0.00011225444340505144,0.9918428437792329,0.999819949585884,0.008157156220767072,frontier
repair/review threshold,0.81,0.3686061739943873,3.7418147801683815e-05,0.9920299345182414,0.9999399831952946,0.007970065481758652,dominated
repair/review threshold,0.8200000000000001,0.3686061739943873,0.0,0.9920673526660431,1.0,0.007932647333956969,frontier
repair/review threshold,0.8300000000000001,0.3687932647333957,0.0,0.9922544434050514,1.0,0.00774555659494855,frontier
repair/review threshold,0.84,0.36883068288119736,0.0,0.9922918615528531,1.0,0.007708138447146866,frontier
repair/review threshold,0.85,0.3690177736202058,0.0,0.9924789522918616,1.0,0.0075210477081384475,frontier
repair/review threshold,0.86,0.36913002806361084,0.0,0.9925912067352666,1.0,0.007408793264733396,frontier
repair/review threshold,0.87,0.36913002806361084,0.0,0.9925912067352666,1.0,0.007408793264733396,frontier
repair/review threshold,0.88,0.3711506080449018,0.0,0.9946117867165575,1.0,0.005388213283442469,frontier
repair/review threshold,0.89,0.37118802619270347,0.0,0.9946492048643593,1.0,0.005350795135640786,frontier
repair/review threshold,0.9,0.3713751169317119,0.0,0.9948362956033676,1.0,0.005163704396632367,frontier
repair/review threshold,0.91,0.3715247895229186,0.0,0.9949859681945744,1.0,0.005014031805425631,frontier
repair/review threshold,0.92,0.3742188961646398,0.0,0.9976800748362956,1.0,0.0023199251637043964,frontier
repair/review threshold,0.93,0.37425631431244155,0.0,0.9977174929840973,1.0,0.0022825070159027128,frontier
repair/review threshold,0.9400000000000001,0.3742937324602432,0.0,0.997754911131899,1.0,0.002245088868101029,frontier
repair/review threshold,0.9500000000000001,0.3742937324602432,0.0,0.997754911131899,1.0,0.002245088868101029,frontier
repair/review threshold,0.96,0.3748924228250702,0.0,0.9983536014967259,1.0,0.0016463985032740879,frontier
repair/review threshold,0.97,0.3748924228250702,0.0,0.9983536014967259,1.0,0.0016463985032740879,frontier
repair/review threshold,0.98,0.3748924228250702,0.0,0.9983536014967259,1.0,0.0016463985032740879,frontier
